#특별시/광역시/도	시군구	읍면동	선거구	항목	항목값
광주광역시	광산구갑	NA	NA	국외부재자_선거권자	130
광주광역시	광산구갑	NA	NA	국외부재자_투표수	50
광주광역시	광산구갑	NA	NA	국외부재자_무효	2
광주광역시	광산구갑	NA	NA	국외부재자_기권	80
광주광역시	광산구갑	NA	NA	국내부재자_선거권자	2940
광주광역시	광산구갑	NA	NA	국내부재자_투표수	2631
광주광역시	광산구갑	NA	NA	국내부재자_무효	48
광주광역시	광산구갑	NA	NA	국내부재자_기권	309
광주광역시	광산구갑	월곡2동	월곡2동제5투	선거권자	2613
광주광역시	광산구갑	월곡2동	월곡2동제5투	투표수	1508
광주광역시	광산구갑	월곡2동	월곡2동제5투	무효	7
광주광역시	광산구갑	월곡2동	월곡2동제5투	기권	1105
광주광역시	광산구갑	월곡1동	월곡1동제3투	선거권자	3449
광주광역시	광산구갑	월곡1동	월곡1동제3투	투표수	1906
광주광역시	광산구갑	월곡1동	월곡1동제3투	무효	9
광주광역시	광산구갑	월곡1동	월곡1동제3투	기권	1543
광주광역시	광산구갑	어룡동	어룡동제4투	선거권자	2830
광주광역시	광산구갑	어룡동	어룡동제4투	투표수	1122
광주광역시	광산구갑	어룡동	어룡동제4투	무효	21
광주광역시	광산구갑	어룡동	어룡동제4투	기권	1708
광주광역시	광산구갑	도산동	도산동제1투	선거권자	3551
광주광역시	광산구갑	도산동	도산동제1투	투표수	1769
광주광역시	광산구갑	도산동	도산동제1투	무효	17
광주광역시	광산구갑	도산동	도산동제1투	기권	1782
광주광역시	광산구갑	운남동	운남동제2투	선거권자	2255
광주광역시	광산구갑	운남동	운남동제2투	투표수	1246
광주광역시	광산구갑	운남동	운남동제2투	무효	14
광주광역시	광산구갑	운남동	운남동제2투	기권	1009
광주광역시	광산구갑	도산동	도산동제3투	선거권자	3855
광주광역시	광산구갑	도산동	도산동제3투	투표수	1917
광주광역시	광산구갑	도산동	도산동제3투	무효	19
광주광역시	광산구갑	도산동	도산동제3투	기권	1938
광주광역시	광산구갑	운남동	운남동제4투	선거권자	1656
광주광역시	광산구갑	운남동	운남동제4투	투표수	837
광주광역시	광산구갑	운남동	운남동제4투	무효	8
광주광역시	광산구갑	운남동	운남동제4투	기권	819
광주광역시	광산구갑	신흥동	신흥동제2투	선거권자	2611
광주광역시	광산구갑	신흥동	신흥동제2투	투표수	1277
광주광역시	광산구갑	신흥동	신흥동제2투	무효	9
광주광역시	광산구갑	신흥동	신흥동제2투	기권	1334
광주광역시	광산구갑	우산동	우산동제1투	선거권자	3793
광주광역시	광산구갑	우산동	우산동제1투	투표수	1575
광주광역시	광산구갑	우산동	우산동제1투	무효	9
광주광역시	광산구갑	우산동	우산동제1투	기권	2218
광주광역시	광산구갑	월곡1동	월곡1동제1투	선거권자	2675
광주광역시	광산구갑	월곡1동	월곡1동제1투	투표수	1064
광주광역시	광산구갑	월곡1동	월곡1동제1투	무효	8
광주광역시	광산구갑	월곡1동	월곡1동제1투	기권	1611
