#특별시/광역시/도	시군구	읍면동	선거구	항목	항목값
울산광역시	남구	NA	NA	국외부재자_선거권자	586
울산광역시	남구	NA	NA	국외부재자_투표수	209
울산광역시	남구	NA	NA	국외부재자_무효	3
울산광역시	남구	NA	NA	국외부재자_기권	377
울산광역시	남구	NA	NA	국내부재자_선거권자	6863
울산광역시	남구	NA	NA	국내부재자_투표수	6223
울산광역시	남구	NA	NA	국내부재자_무효	164
울산광역시	남구	NA	NA	국내부재자_기권	640
울산광역시	남구	야음장생포동	야음장생포동제4투	선거권자	1258
울산광역시	남구	야음장생포동	야음장생포동제4투	투표수	695
울산광역시	남구	야음장생포동	야음장생포동제4투	무효	19
울산광역시	남구	야음장생포동	야음장생포동제4투	기권	563
울산광역시	남구	신정4동	신정4동제2투	선거권자	3348
울산광역시	남구	신정4동	신정4동제2투	투표수	1864
울산광역시	남구	신정4동	신정4동제2투	무효	21
울산광역시	남구	신정4동	신정4동제2투	기권	1484
울산광역시	남구	신정2동	신정2동제1투	선거권자	3498
울산광역시	남구	신정2동	신정2동제1투	투표수	1700
울산광역시	남구	신정2동	신정2동제1투	무효	26
울산광역시	남구	신정2동	신정2동제1투	기권	1798
울산광역시	남구	옥동	옥동제5투	선거권자	3607
울산광역시	남구	옥동	옥동제5투	투표수	2211
울산광역시	남구	옥동	옥동제5투	무효	18
울산광역시	남구	옥동	옥동제5투	기권	1396
울산광역시	남구	신정2동	신정2동제3투	선거권자	3265
울산광역시	남구	신정2동	신정2동제3투	투표수	1680
울산광역시	남구	신정2동	신정2동제3투	무효	28
울산광역시	남구	신정2동	신정2동제3투	기권	1585
울산광역시	남구	야음장생포동	야음장생포동제3투	선거권자	3748
울산광역시	남구	야음장생포동	야음장생포동제3투	투표수	1830
울산광역시	남구	야음장생포동	야음장생포동제3투	무효	43
울산광역시	남구	야음장생포동	야음장생포동제3투	기권	1918
울산광역시	남구	선암동	선암동제4투	선거권자	2931
울산광역시	남구	선암동	선암동제4투	투표수	1667
울산광역시	남구	선암동	선암동제4투	무효	19
울산광역시	남구	선암동	선암동제4투	기권	1264
울산광역시	남구	달동	달동제2투	선거권자	3746
울산광역시	남구	달동	달동제2투	투표수	1758
울산광역시	남구	달동	달동제2투	무효	38
울산광역시	남구	달동	달동제2투	기권	1988
울산광역시	남구	신정3동	신정3동제2투	선거권자	3547
울산광역시	남구	신정3동	신정3동제2투	투표수	1625
울산광역시	남구	신정3동	신정3동제2투	무효	44
울산광역시	남구	신정3동	신정3동제2투	기권	1922
울산광역시	남구	무거동	무거동제2투	선거권자	2915
울산광역시	남구	무거동	무거동제2투	투표수	1641
울산광역시	남구	무거동	무거동제2투	무효	24
울산광역시	남구	무거동	무거동제2투	기권	1274
울산광역시	남구	무거동	무거동제4투	선거권자	3630
울산광역시	남구	무거동	무거동제4투	투표수	2195
울산광역시	남구	무거동	무거동제4투	무효	27
울산광역시	남구	무거동	무거동제4투	기권	1435
울산광역시	남구	달동	달동제4투	선거권자	3418
울산광역시	남구	달동	달동제4투	투표수	1573
울산광역시	남구	달동	달동제4투	무효	48
울산광역시	남구	달동	달동제4투	기권	1845
울산광역시	남구	신정2동	신정2동제4투	선거권자	4388
울산광역시	남구	신정2동	신정2동제4투	투표수	2647
울산광역시	남구	신정2동	신정2동제4투	무효	23
울산광역시	남구	신정2동	신정2동제4투	기권	1741
울산광역시	남구	삼산동	삼산동제9투	선거권자	4762
울산광역시	남구	삼산동	삼산동제9투	투표수	2372
울산광역시	남구	삼산동	삼산동제9투	무효	27
울산광역시	남구	삼산동	삼산동제9투	기권	2390
울산광역시	남구	신정2동	신정2동제5투	선거권자	2703
울산광역시	남구	신정2동	신정2동제5투	투표수	1745
울산광역시	남구	신정2동	신정2동제5투	무효	17
울산광역시	남구	신정2동	신정2동제5투	기권	958
울산광역시	남구	대현동	대현동제5투	선거권자	4340
울산광역시	남구	대현동	대현동제5투	투표수	2345
울산광역시	남구	대현동	대현동제5투	무효	43
울산광역시	남구	대현동	대현동제5투	기권	1995
울산광역시	남구	삼산동	삼산동제7투	선거권자	3505
울산광역시	남구	삼산동	삼산동제7투	투표수	2157
울산광역시	남구	삼산동	삼산동제7투	무효	22
울산광역시	남구	삼산동	삼산동제7투	기권	1348
울산광역시	남구	삼호동	삼호동제4투	선거권자	3873
울산광역시	남구	삼호동	삼호동제4투	투표수	1954
울산광역시	남구	삼호동	삼호동제4투	무효	38
울산광역시	남구	삼호동	삼호동제4투	기권	1919
울산광역시	남구	무거동	무거동제7투	선거권자	4069
울산광역시	남구	무거동	무거동제7투	투표수	2505
울산광역시	남구	무거동	무거동제7투	무효	29
울산광역시	남구	무거동	무거동제7투	기권	1564
울산광역시	남구	대현동	대현동제1투	선거권자	4124
울산광역시	남구	대현동	대현동제1투	투표수	2294
울산광역시	남구	대현동	대현동제1투	무효	58
울산광역시	남구	대현동	대현동제1투	기권	1830
울산광역시	남구	대현동	대현동제3투	선거권자	4407
울산광역시	남구	대현동	대현동제3투	투표수	2572
울산광역시	남구	대현동	대현동제3투	무효	29
울산광역시	남구	대현동	대현동제3투	기권	1835
울산광역시	남구	수암동	수암동제3투	선거권자	3929
울산광역시	남구	수암동	수암동제3투	투표수	2508
울산광역시	남구	수암동	수암동제3투	무효	15
울산광역시	남구	수암동	수암동제3투	기권	1421
울산광역시	남구	신정5동	신정5동제2투	선거권자	3338
울산광역시	남구	신정5동	신정5동제2투	투표수	1544
울산광역시	남구	신정5동	신정5동제2투	무효	30
울산광역시	남구	신정5동	신정5동제2투	기권	1794
울산광역시	남구	신정1동	신정1동제1투	선거권자	4296
울산광역시	남구	신정1동	신정1동제1투	투표수	1875
울산광역시	남구	신정1동	신정1동제1투	무효	44
울산광역시	남구	신정1동	신정1동제1투	기권	2421
울산광역시	남구	옥동	옥동제3투	선거권자	3088
울산광역시	남구	옥동	옥동제3투	투표수	1953
울산광역시	남구	옥동	옥동제3투	무효	25
울산광역시	남구	옥동	옥동제3투	기권	1135
울산광역시	남구	신정4동	신정4동제4투	선거권자	2306
울산광역시	남구	신정4동	신정4동제4투	투표수	1147
울산광역시	남구	신정4동	신정4동제4투	무효	40
울산광역시	남구	신정4동	신정4동제4투	기권	1159
울산광역시	남구	신정4동	신정4동제6투	선거권자	3365
울산광역시	남구	신정4동	신정4동제6투	투표수	1956
울산광역시	남구	신정4동	신정4동제6투	무효	18
울산광역시	남구	신정4동	신정4동제6투	기권	1409
울산광역시	남구	야음장생포동	야음장생포동제2투	선거권자	2904
울산광역시	남구	야음장생포동	야음장생포동제2투	투표수	1475
울산광역시	남구	야음장생포동	야음장생포동제2투	무효	37
울산광역시	남구	야음장생포동	야음장생포동제2투	기권	1429
울산광역시	남구	삼산동	삼산동제6투	선거권자	4761
울산광역시	남구	삼산동	삼산동제6투	투표수	2654
울산광역시	남구	삼산동	삼산동제6투	무효	24
울산광역시	남구	삼산동	삼산동제6투	기권	2107
울산광역시	남구	대현동	대현동제4투	선거권자	3833
울산광역시	남구	대현동	대현동제4투	투표수	2227
울산광역시	남구	대현동	대현동제4투	무효	33
울산광역시	남구	대현동	대현동제4투	기권	1606
울산광역시	남구	삼산동	삼산동제2투	선거권자	3932
울산광역시	남구	삼산동	삼산동제2투	투표수	1879
울산광역시	남구	삼산동	삼산동제2투	무효	21
울산광역시	남구	삼산동	삼산동제2투	기권	2053
울산광역시	남구	삼산동	삼산동제4투	선거권자	4241
울산광역시	남구	삼산동	삼산동제4투	투표수	1258
울산광역시	남구	삼산동	삼산동제4투	무효	20
울산광역시	남구	삼산동	삼산동제4투	기권	2983
울산광역시	남구	신정1동	신정1동제3투	선거권자	4077
울산광역시	남구	신정1동	신정1동제3투	투표수	2311
울산광역시	남구	신정1동	신정1동제3투	무효	43
울산광역시	남구	신정1동	신정1동제3투	기권	1766
울산광역시	남구	삼호동	삼호동제2투	선거권자	3916
울산광역시	남구	삼호동	삼호동제2투	투표수	1835
울산광역시	남구	삼호동	삼호동제2투	무효	35
울산광역시	남구	삼호동	삼호동제2투	기권	2081
울산광역시	남구	옥동	옥동제4투	선거권자	3346
울산광역시	남구	옥동	옥동제4투	투표수	1920
울산광역시	남구	옥동	옥동제4투	무효	26
울산광역시	남구	옥동	옥동제4투	기권	1426
울산광역시	남구	신정4동	신정4동제3투	선거권자	3116
울산광역시	남구	신정4동	신정4동제3투	투표수	1708
울산광역시	남구	신정4동	신정4동제3투	무효	31
울산광역시	남구	신정4동	신정4동제3투	기권	1408
울산광역시	남구	신정2동	신정2동제2투	선거권자	3026
울산광역시	남구	신정2동	신정2동제2투	투표수	1718
울산광역시	남구	신정2동	신정2동제2투	무효	24
울산광역시	남구	신정2동	신정2동제2투	기권	1308
울산광역시	남구	신정4동	신정4동제1투	선거권자	3991
울산광역시	남구	신정4동	신정4동제1투	투표수	2495
울산광역시	남구	신정4동	신정4동제1투	무효	24
울산광역시	남구	신정4동	신정4동제1투	기권	1496
울산광역시	남구	옥동	옥동제6투	선거권자	2964
울산광역시	남구	옥동	옥동제6투	투표수	1937
울산광역시	남구	옥동	옥동제6투	무효	17
울산광역시	남구	옥동	옥동제6투	기권	1027
울산광역시	남구	야음장생포동	야음장생포동제1투	선거권자	3926
울산광역시	남구	야음장생포동	야음장생포동제1투	투표수	1861
울산광역시	남구	야음장생포동	야음장생포동제1투	무효	63
울산광역시	남구	야음장생포동	야음장생포동제1투	기권	2065
울산광역시	남구	수암동	수암동제2투	선거권자	3289
울산광역시	남구	수암동	수암동제2투	투표수	1758
울산광역시	남구	수암동	수암동제2투	무효	48
