#특별시/광역시/도	시군구	읍면동	선거구	후보정당	후보	득표수
강원도	강릉시	옥천동	옥천동투표소	새누리당	권성동	1324
강원도	강릉시	옥천동	옥천동투표소	민주통합당	송영철	578
강원도	강릉시	주문진읍	주문진읍제5투	새누리당	권성동	697
강원도	강릉시	주문진읍	주문진읍제5투	민주통합당	송영철	368
강원도	강릉시	왕산면	왕산면제3투	새누리당	권성동	168
강원도	강릉시	왕산면	왕산면제3투	민주통합당	송영철	57
강원도	강릉시	포남2동	포남2동제1투	새누리당	권성동	1052
강원도	강릉시	포남2동	포남2동제1투	민주통합당	송영철	633
강원도	강릉시	주문진읍	주문진읍제1투	새누리당	권성동	1170
강원도	강릉시	주문진읍	주문진읍제1투	민주통합당	송영철	430
강원도	강릉시	주문진읍	주문진읍제3투	새누리당	권성동	1083
강원도	강릉시	주문진읍	주문진읍제3투	민주통합당	송영철	543
강원도	강릉시	옥계면	옥계면제1투	새누리당	권성동	914
강원도	강릉시	옥계면	옥계면제1투	민주통합당	송영철	420
강원도	강릉시	성산면	성산면제2투	새누리당	권성동	229
강원도	강릉시	성산면	성산면제2투	민주통합당	송영철	116
강원도	강릉시	구정면	구정면제1투	새누리당	권성동	781
강원도	강릉시	구정면	구정면제1투	민주통합당	송영철	538
강원도	강릉시	옥계면	옥계면제2투	새누리당	권성동	593
강원도	강릉시	옥계면	옥계면제2투	민주통합당	송영철	259
강원도	강릉시	경포동	경포동제1투	새누리당	권성동	753
강원도	강릉시	경포동	경포동제1투	민주통합당	송영철	534
강원도	강릉시	초당동	초당동제1투	새누리당	권성동	568
강원도	강릉시	초당동	초당동제1투	민주통합당	송영철	422
강원도	강릉시	포남1동	포남1동제2투	새누리당	권성동	1105
강원도	강릉시	포남1동	포남1동제2투	민주통합당	송영철	538
강원도	강릉시	성덕동	성덕동제2투	새누리당	권성동	966
강원도	강릉시	성덕동	성덕동제2투	민주통합당	송영철	751
강원도	강릉시	교1동	교1동제2투	새누리당	권성동	1249
강원도	강릉시	교1동	교1동제2투	민주통합당	송영철	678
강원도	강릉시	중앙동	중앙동제2투	새누리당	권성동	1184
강원도	강릉시	중앙동	중앙동제2투	민주통합당	송영철	531
강원도	강릉시	성덕동	성덕동제6투	새누리당	권성동	489
강원도	강릉시	성덕동	성덕동제6투	민주통합당	송영철	325
강원도	강릉시	교1동	교1동제6투	새누리당	권성동	1109
강원도	강릉시	교1동	교1동제6투	민주통합당	송영철	1008
강원도	강릉시	강남동	강남동제3투	새누리당	권성동	1253
강원도	강릉시	강남동	강남동제3투	민주통합당	송영철	733
강원도	강릉시	교1동	교1동제4투	새누리당	권성동	996
강원도	강릉시	교1동	교1동제4투	민주통합당	송영철	1076
강원도	강릉시	강남동	강남동제5투	새누리당	권성동	449
강원도	강릉시	강남동	강남동제5투	민주통합당	송영철	219
강원도	강릉시	사천면	사천면제1투	새누리당	권성동	813
강원도	강릉시	사천면	사천면제1투	민주통합당	송영철	477
강원도	강릉시	연곡면	연곡면제1투	새누리당	권성동	1051
강원도	강릉시	연곡면	연곡면제1투	민주통합당	송영철	840
강원도	강릉시	송정동	송정동제2투	새누리당	권성동	1014
강원도	강릉시	송정동	송정동제2투	민주통합당	송영철	803
강원도	강릉시	왕산면	왕산면제1투	새누리당	권성동	350
강원도	강릉시	왕산면	왕산면제1투	민주통합당	송영철	137
강원도	강릉시	포남2동	포남2동제3투	새누리당	권성동	842
강원도	강릉시	포남2동	포남2동제3투	민주통합당	송영철	628
강원도	강릉시	중앙동	중앙동제1투	새누리당	권성동	807
