#특별시/광역시/도	시군구	읍면동	선거구	항목	항목값
부산광역시	금정구	NA	NA	국외부재자_선거권자	542
부산광역시	금정구	NA	NA	국외부재자_투표수	218
부산광역시	금정구	NA	NA	국외부재자_무효	2
부산광역시	금정구	NA	NA	국외부재자_기권	324
부산광역시	금정구	NA	NA	국내부재자_선거권자	4552
부산광역시	금정구	NA	NA	국내부재자_투표수	4094
부산광역시	금정구	NA	NA	국내부재자_무효	74
부산광역시	금정구	NA	NA	국내부재자_기권	458
부산광역시	금정구	서제3동	서제3동제2투	선거권자	3284
부산광역시	금정구	서제3동	서제3동제2투	투표수	1680
부산광역시	금정구	서제3동	서제3동제2투	무효	14
부산광역시	금정구	서제3동	서제3동제2투	기권	1604
부산광역시	금정구	구서제2동	구서제2동제4투	선거권자	3801
부산광역시	금정구	구서제2동	구서제2동제4투	투표수	2264
부산광역시	금정구	구서제2동	구서제2동제4투	무효	18
부산광역시	금정구	구서제2동	구서제2동제4투	기권	1537
부산광역시	금정구	청룡노포동	청룡노포동제2투	선거권자	3095
부산광역시	금정구	청룡노포동	청룡노포동제2투	투표수	1602
부산광역시	금정구	청룡노포동	청룡노포동제2투	무효	19
부산광역시	금정구	청룡노포동	청룡노포동제2투	기권	1493
부산광역시	금정구	금사동	금사동제2투	선거권자	3141
부산광역시	금정구	금사동	금사동제2투	투표수	1517
부산광역시	금정구	금사동	금사동제2투	무효	18
부산광역시	금정구	금사동	금사동제2투	기권	1624
부산광역시	금정구	장전제1동	장전제1동제4투	선거권자	2639
부산광역시	금정구	장전제1동	장전제1동제4투	투표수	1434
부산광역시	금정구	장전제1동	장전제1동제4투	무효	18
부산광역시	금정구	장전제1동	장전제1동제4투	기권	1205
부산광역시	금정구	구서제1동	구서제1동제1투	선거권자	4187
부산광역시	금정구	구서제1동	구서제1동제1투	투표수	2329
부산광역시	금정구	구서제1동	구서제1동제1투	무효	19
부산광역시	금정구	구서제1동	구서제1동제1투	기권	1858
부산광역시	금정구	구서제2동	구서제2동제7투	선거권자	4516
부산광역시	금정구	구서제2동	구서제2동제7투	투표수	2952
부산광역시	금정구	구서제2동	구서제2동제7투	무효	19
부산광역시	금정구	구서제2동	구서제2동제7투	기권	1564
부산광역시	금정구	남산동	남산동제5투	선거권자	3949
부산광역시	금정구	남산동	남산동제5투	투표수	2082
부산광역시	금정구	남산동	남산동제5투	무효	20
부산광역시	금정구	남산동	남산동제5투	기권	1867
부산광역시	금정구	부곡제3동	부곡제3동제2투	선거권자	2855
부산광역시	금정구	부곡제3동	부곡제3동제2투	투표수	1428
부산광역시	금정구	부곡제3동	부곡제3동제2투	무효	16
부산광역시	금정구	부곡제3동	부곡제3동제2투	기권	1427
부산광역시	금정구	남산동	남산동제7투	선거권자	4309
부산광역시	금정구	남산동	남산동제7투	투표수	2291
부산광역시	금정구	남산동	남산동제7투	무효	16
부산광역시	금정구	남산동	남산동제7투	기권	2018
부산광역시	금정구	부곡제3동	부곡제3동제4투	선거권자	4271
부산광역시	금정구	부곡제3동	부곡제3동제4투	투표수	2669
부산광역시	금정구	부곡제3동	부곡제3동제4투	무효	16
부산광역시	금정구	부곡제3동	부곡제3동제4투	기권	1602
부산광역시	금정구	부곡제4동	부곡제4동제1투	선거권자	3972
부산광역시	금정구	부곡제4동	부곡제4동제1투	투표수	2128
부산광역시	금정구	부곡제4동	부곡제4동제1투	무효	28
부산광역시	금정구	부곡제4동	부곡제4동제1투	기권	1844
부산광역시	금정구	남산동	남산동제2투	선거권자	3752
부산광역시	금정구	남산동	남산동제2투	투표수	1835
부산광역시	금정구	남산동	남산동제2투	무효	18
부산광역시	금정구	남산동	남산동제2투	기권	1917
부산광역시	금정구	구서제1동	구서제1동제4투	선거권자	3598
부산광역시	금정구	구서제1동	구서제1동제4투	투표수	1851
부산광역시	금정구	구서제1동	구서제1동제4투	무효	7
부산광역시	금정구	구서제1동	구서제1동제4투	기권	1747
부산광역시	금정구	구서제2동	구서제2동제2투	선거권자	3836
부산광역시	금정구	구서제2동	구서제2동제2투	투표수	2238
부산광역시	금정구	구서제2동	구서제2동제2투	무효	22
부산광역시	금정구	구서제2동	구서제2동제2투	기권	1598
부산광역시	금정구	남산동	남산동제6투	선거권자	4286
부산광역시	금정구	남산동	남산동제6투	투표수	2219
부산광역시	금정구	남산동	남산동제6투	무효	15
부산광역시	금정구	남산동	남산동제6투	기권	2067
부산광역시	금정구	금사동	금사동제1투	선거권자	3161
부산광역시	금정구	금사동	금사동제1투	투표수	1511
부산광역시	금정구	금사동	금사동제1투	무효	18
부산광역시	금정구	금사동	금사동제1투	기권	1650
부산광역시	금정구	서제2동	서제2동제2투	선거권자	3994
부산광역시	금정구	서제2동	서제2동제2투	투표수	1776
부산광역시	금정구	서제2동	서제2동제2투	무효	20
부산광역시	금정구	서제2동	서제2동제2투	기권	2218
부산광역시	금정구	부곡제2동	부곡제2동제2투	선거권자	3229
부산광역시	금정구	부곡제2동	부곡제2동제2투	투표수	1488
부산광역시	금정구	부곡제2동	부곡제2동제2투	무효	14
부산광역시	금정구	부곡제2동	부곡제2동제2투	기권	1741
부산광역시	금정구	서제3동	서제3동제4투	선거권자	2672
부산광역시	금정구	서제3동	서제3동제4투	투표수	1325
부산광역시	금정구	서제3동	서제3동제4투	무효	9
부산광역시	금정구	서제3동	서제3동제4투	기권	1347
부산광역시	금정구	구서제2동	구서제2동제3투	선거권자	3843
부산광역시	금정구	구서제2동	구서제2동제3투	투표수	2034
부산광역시	금정구	구서제2동	구서제2동제3투	무효	14
부산광역시	금정구	구서제2동	구서제2동제3투	기권	1809
부산광역시	금정구	구서제2동	구서제2동제1투	선거권자	3883
부산광역시	금정구	구서제2동	구서제2동제1투	투표수	1849
부산광역시	금정구	구서제2동	구서제2동제1투	무효	14
부산광역시	금정구	구서제2동	구서제2동제1투	기권	2034
부산광역시	금정구	부곡제2동	부곡제2동제4투	선거권자	4207
부산광역시	금정구	부곡제2동	부곡제2동제4투	투표수	2655
부산광역시	금정구	부곡제2동	부곡제2동제4투	무효	13
부산광역시	금정구	부곡제2동	부곡제2동제4투	기권	1552
부산광역시	금정구	부곡제1동	부곡제1동제1투	선거권자	2657
부산광역시	금정구	부곡제1동	부곡제1동제1투	투표수	1306
부산광역시	금정구	부곡제1동	부곡제1동제1투	무효	18
부산광역시	금정구	부곡제1동	부곡제1동제1투	기권	1351
부산광역시	금정구	장전제2동	장전제2동제2투	선거권자	4356
부산광역시	금정구	장전제2동	장전제2동제2투	투표수	2497
부산광역시	금정구	장전제2동	장전제2동제2투	무효	13
부산광역시	금정구	장전제2동	장전제2동제2투	기권	1859
부산광역시	금정구	부곡제1동	부곡제1동제2투	선거권자	4510
부산광역시	금정구	부곡제1동	부곡제1동제2투	투표수	2216
부산광역시	금정구	부곡제1동	부곡제1동제2투	무효	23
부산광역시	금정구	부곡제1동	부곡제1동제2투	기권	2294
부산광역시	금정구	서제1동	서제1동제2투	선거권자	2509
부산광역시	금정구	서제1동	서제1동제2투	투표수	1156
부산광역시	금정구	서제1동	서제1동제2투	무효	18
부산광역시	금정구	서제1동	서제1동제2투	기권	1353
부산광역시	금정구	청룡노포동	청룡노포동제1투	선거권자	4261
부산광역시	금정구	청룡노포동	청룡노포동제1투	투표수	2407
부산광역시	금정구	청룡노포동	청룡노포동제1투	무효	14
부산광역시	금정구	청룡노포동	청룡노포동제1투	기권	1854
