#특별시/광역시/도	시군구	읍면동	선거구	후보정당	후보	득표수
대전광역시	대덕구	석봉동	석봉동제1투	새누리당	박성효	765
대전광역시	대덕구	석봉동	석봉동제1투	자유선진당	이현	263
대전광역시	대덕구	석봉동	석봉동제1투	통합진보당	김창근	414
대전광역시	대덕구	신탄진동	신탄진동제3투	새누리당	박성효	888
대전광역시	대덕구	신탄진동	신탄진동제3투	자유선진당	이현	276
대전광역시	대덕구	신탄진동	신탄진동제3투	통합진보당	김창근	512
대전광역시	대덕구	덕암동	덕암동제2투	새누리당	박성효	1000
대전광역시	대덕구	덕암동	덕암동제2투	자유선진당	이현	387
대전광역시	대덕구	덕암동	덕암동제2투	통합진보당	김창근	723
대전광역시	대덕구	오정동	오정동제5투	새누리당	박성효	1027
대전광역시	대덕구	오정동	오정동제5투	자유선진당	이현	288
대전광역시	대덕구	오정동	오정동제5투	통합진보당	김창근	510
대전광역시	대덕구	석봉동	석봉동제3투	새누리당	박성효	379
대전광역시	대덕구	석봉동	석봉동제3투	자유선진당	이현	128
대전광역시	대덕구	석봉동	석봉동제3투	통합진보당	김창근	227
대전광역시	대덕구	오정동	오정동제3투	새누리당	박성효	523
대전광역시	대덕구	오정동	오정동제3투	자유선진당	이현	222
대전광역시	대덕구	오정동	오정동제3투	통합진보당	김창근	339
대전광역시	대덕구	법1동	법1동제1투	새누리당	박성효	402
대전광역시	대덕구	법1동	법1동제1투	자유선진당	이현	146
대전광역시	대덕구	법1동	법1동제1투	통합진보당	김창근	339
대전광역시	대덕구	비래동	비래동제1투	새누리당	박성효	794
대전광역시	대덕구	비래동	비래동제1투	자유선진당	이현	305
대전광역시	대덕구	비래동	비래동제1투	통합진보당	김창근	369
대전광역시	대덕구	송촌동	송촌동제3투	새누리당	박성효	858
대전광역시	대덕구	송촌동	송촌동제3투	자유선진당	이현	384
대전광역시	대덕구	송촌동	송촌동제3투	통합진보당	김창근	790
대전광역시	대덕구	비래동	비래동제3투	새누리당	박성효	684
대전광역시	대덕구	비래동	비래동제3투	자유선진당	이현	304
대전광역시	대덕구	비래동	비래동제3투	통합진보당	김창근	482
대전광역시	대덕구	오정동	오정동제2투	새누리당	박성효	445
대전광역시	대덕구	오정동	오정동제2투	자유선진당	이현	177
대전광역시	대덕구	오정동	오정동제2투	통합진보당	김창근	216
대전광역시	대덕구	송촌동	송촌동제1투	새누리당	박성효	1055
대전광역시	대덕구	송촌동	송촌동제1투	자유선진당	이현	347
대전광역시	대덕구	송촌동	송촌동제1투	통합진보당	김창근	740
대전광역시	대덕구	법1동	법1동제3투	새누리당	박성효	1197
대전광역시	대덕구	법1동	법1동제3투	자유선진당	이현	345
대전광역시	대덕구	법1동	법1동제3투	통합진보당	김창근	635
대전광역시	대덕구	비래동	비래동제2투	새누리당	박성효	638
대전광역시	대덕구	비래동	비래동제2투	자유선진당	이현	298
대전광역시	대덕구	비래동	비래동제2투	통합진보당	김창근	383
대전광역시	대덕구	목상동	목상동제2투	새누리당	박성효	617
대전광역시	대덕구	목상동	목상동제2투	자유선진당	이현	333
대전광역시	대덕구	목상동	목상동제2투	통합진보당	김창근	455
대전광역시	대덕구	법1동	법1동제4투	새누리당	박성효	596
대전광역시	대덕구	법1동	법1동제4투	자유선진당	이현	296
대전광역시	대덕구	법1동	법1동제4투	통합진보당	김창근	385
대전광역시	대덕구	중리동	중리동제4투	새누리당	박성효	698
대전광역시	대덕구	중리동	중리동제4투	자유선진당	이현	281
대전광역시	대덕구	중리동	중리동제4투	통합진보당	김창근	474
대전광역시	대덕구	오정동	오정동제1투	새누리당	박성효	719
대전광역시	대덕구	오정동	오정동제1투	자유선진당	이현	263
대전광역시	대덕구	오정동	오정동제1투	통합진보당	김창근	359
대전광역시	대덕구	송촌동	송촌동제6투	새누리당	박성효	510
대전광역시	대덕구	송촌동	송촌동제6투	자유선진당	이현	217
대전광역시	대덕구	송촌동	송촌동제6투	통합진보당	김창근	285
대전광역시	대덕구	법2동	법2동제2투	새누리당	박성효	1550
대전광역시	대덕구	법2동	법2동제2투	자유선진당	이현	460
대전광역시	대덕구	법2동	법2동제2투	통합진보당	김창근	786
대전광역시	대덕구	대화동	대화동제2투	새누리당	박성효	544
대전광역시	대덕구	대화동	대화동제2투	자유선진당	이현	228
대전광역시	대덕구	대화동	대화동제2투	통합진보당	김창근	292
대전광역시	대덕구	중리동	중리동제2투	새누리당	박성효	418
대전광역시	대덕구	중리동	중리동제2투	자유선진당	이현	213
대전광역시	대덕구	중리동	중리동제2투	통합진보당	김창근	301
대전광역시	대덕구	비래동	비래동제4투	새누리당	박성효	768
대전광역시	대덕구	비래동	비래동제4투	자유선진당	이현	300
대전광역시	대덕구	비래동	비래동제4투	통합진보당	김창근	485
대전광역시	대덕구	덕암동	덕암동제4투	새누리당	박성효	408
대전광역시	대덕구	덕암동	덕암동제4투	자유선진당	이현	148
대전광역시	대덕구	덕암동	덕암동제4투	통합진보당	김창근	424
대전광역시	대덕구	회덕동	회덕동제5투	새누리당	박성효	250
대전광역시	대덕구	회덕동	회덕동제5투	자유선진당	이현	82
대전광역시	대덕구	회덕동	회덕동제5투	통합진보당	김창근	99
대전광역시	대덕구	회덕동	회덕동제3투	새누리당	박성효	900
대전광역시	대덕구	회덕동	회덕동제3투	자유선진당	이현	293
대전광역시	대덕구	회덕동	회덕동제3투	통합진보당	김창근	507
대전광역시	대덕구	중리동	중리동제6투	새누리당	박성효	732
대전광역시	대덕구	중리동	중리동제6투	자유선진당	이현	227
대전광역시	대덕구	중리동	중리동제6투	통합진보당	김창근	405
대전광역시	대덕구	법2동	법2동제5투	새누리당	박성효	704
대전광역시	대덕구	법2동	법2동제5투	자유선진당	이현	273
대전광역시	대덕구	법2동	법2동제5투	통합진보당	김창근	485
대전광역시	대덕구	신탄진동	신탄진동제2투	새누리당	박성효	926
대전광역시	대덕구	신탄진동	신탄진동제2투	자유선진당	이현	316
대전광역시	대덕구	신탄진동	신탄진동제2투	통합진보당	김창근	639
대전광역시	대덕구	덕암동	덕암동제3투	새누리당	박성효	751
대전광역시	대덕구	덕암동	덕암동제3투	자유선진당	이현	294
대전광역시	대덕구	덕암동	덕암동제3투	통합진보당	김창근	487
대전광역시	대덕구	석봉동	석봉동제2투	새누리당	박성효	620
대전광역시	대덕구	석봉동	석봉동제2투	자유선진당	이현	203
대전광역시	대덕구	석봉동	석봉동제2투	통합진보당	김창근	315
대전광역시	대덕구	대화동	대화동제3투	새누리당	박성효	806
대전광역시	대덕구	대화동	대화동제3투	자유선진당	이현	270
대전광역시	대덕구	대화동	대화동제3투	통합진보당	김창근	521
대전광역시	대덕구	법2동	법2동제4투	새누리당	박성효	248
대전광역시	대덕구	법2동	법2동제4투	자유선진당	이현	74
대전광역시	대덕구	법2동	법2동제4투	통합진보당	김창근	109
대전광역시	대덕구	법2동	법2동제1투	새누리당	박성효	704
대전광역시	대덕구	법2동	법2동제1투	자유선진당	이현	254
대전광역시	대덕구	법2동	법2동제1투	통합진보당	김창근	388
대전광역시	대덕구	송촌동	송촌동제4투	새누리당	박성효	1017
대전광역시	대덕구	송촌동	송촌동제4투	자유선진당	이현	414
대전광역시	대덕구	송촌동	송촌동제4투	통합진보당	김창근	692
대전광역시	대덕구	회덕동	회덕동제1투	새누리당	박성효	1001
대전광역시	대덕구	회덕동	회덕동제1투	자유선진당	이현	302
대전광역시	대덕구	회덕동	회덕동제1투	통합진보당	김창근	611
대전광역시	대덕구	송촌동	송촌동제2투	새누리당	박성효	932
대전광역시	대덕구	송촌동	송촌동제2투	자유선진당	이현	362
대전광역시	대덕구	송촌동	송촌동제2투	통합진보당	김창근	845
대전광역시	대덕구	법1동	법1동제2투	새누리당	박성효	680
대전광역시	대덕구	법1동	법1동제2투	자유선진당	이현	247
대전광역시	대덕구	법1동	법1동제2투	통합진보당	김창근	510
대전광역시	대덕구	중리동	중리동제3투	새누리당	박성효	519
대전광역시	대덕구	중리동	중리동제3투	자유선진당	이현	213
대전광역시	대덕구	중리동	중리동제3투	통합진보당	김창근	349
대전광역시	대덕구	목상동	목상동제1투	새누리당	박성효	446
대전광역시	대덕구	목상동	목상동제1투	자유선진당	이현	269
대전광역시	대덕구	목상동	목상동제1투	통합진보당	김창근	355
대전광역시	대덕구	중리동	중리동제5투	새누리당	박성효	543
대전광역시	대덕구	중리동	중리동제5투	자유선진당	이현	206
대전광역시	대덕구	중리동	중리동제5투	통합진보당	김창근	324
대전광역시	대덕구	오정동	오정동제6투	새누리당	박성효	562
대전광역시	대덕구	오정동	오정동제6투	자유선진당	이현	263
대전광역시	대덕구	오정동	오정동제6투	통합진보당	김창근	310
대전광역시	대덕구	덕암동	덕암동제1투	새누리당	박성효	754
대전광역시	대덕구	덕암동	덕암동제1투	자유선진당	이현	264
대전광역시	대덕구	덕암동	덕암동제1투	통합진보당	김창근	461
대전광역시	대덕구	중리동	중리동제1투	새누리당	박성효	668
대전광역시	대덕구	중리동	중리동제1투	자유선진당	이현	250
대전광역시	대덕구	중리동	중리동제1투	통합진보당	김창근	327
대전광역시	대덕구	대화동	대화동제1투	새누리당	박성효	652
대전광역시	대덕구	대화동	대화동제1투	자유선진당	이현	230
대전광역시	대덕구	대화동	대화동제1투	통합진보당	김창근	340
대전광역시	대덕구	비래동	비래동제5투	새누리당	박성효	643
대전광역시	대덕구	비래동	비래동제5투	자유선진당	이현	245
대전광역시	대덕구	비래동	비래동제5투	통합진보당	김창근	460
대전광역시	대덕구	송촌동	송촌동제7투	새누리당	박성효	572
대전광역시	대덕구	송촌동	송촌동제7투	자유선진당	이현	265
대전광역시	대덕구	송촌동	송촌동제7투	통합진보당	김창근	367
대전광역시	대덕구	신탄진동	신탄진동제4투	새누리당	박성효	182
대전광역시	대덕구	신탄진동	신탄진동제4투	자유선진당	이현	48
대전광역시	대덕구	신탄진동	신탄진동제4투	통합진보당	김창근	90
대전광역시	대덕구	신탄진동	신탄진동제1투	새누리당	박성효	742
대전광역시	대덕구	신탄진동	신탄진동제1투	자유선진당	이현	295
대전광역시	대덕구	신탄진동	신탄진동제1투	통합진보당	김창근	418
대전광역시	대덕구	회덕동	회덕동제2투	새누리당	박성효	696
대전광역시	대덕구	회덕동	회덕동제2투	자유선진당	이현	236
대전광역시	대덕구	회덕동	회덕동제2투	통합진보당	김창근	389
대전광역시	대덕구	법2동	법2동제3투	새누리당	박성효	1191
대전광역시	대덕구	법2동	법2동제3투	자유선진당	이현	409
대전광역시	대덕구	법2동	법2동제3투	통합진보당	김창근	931
대전광역시	대덕구	오정동	오정동제4투	새누리당	박성효	700
대전광역시	대덕구	오정동	오정동제4투	자유선진당	이현	248
대전광역시	대덕구	오정동	오정동제4투	통합진보당	김창근	395
대전광역시	대덕구	중리동	중리동제7투	새누리당	박성효	507
대전광역시	대덕구	중리동	중리동제7투	자유선진당	이현	226
대전광역시	대덕구	중리동	중리동제7투	통합진보당	김창근	400
대전광역시	대덕구	회덕동	회덕동제4투	새누리당	박성효	1157
대전광역시	대덕구	회덕동	회덕동제4투	자유선진당	이현	299
대전광역시	대덕구	회덕동	회덕동제4투	통합진보당	김창근	616
대전광역시	대덕구	송촌동	송촌동제5투	새누리당	박성효	421
대전광역시	대덕구	송촌동	송촌동제5투	자유선진당	이현	167
대전광역시	대덕구	송촌동	송촌동제5투	통합진보당	김창근	286
대전광역시	대덕구	NA	국외부재자	새누리당	박성효	242
대전광역시	대덕구	NA	국내부재자	새누리당	박성효	3449
대전광역시	대덕구	NA	국외부재자	자유선진당	이현	89
대전광역시	대덕구	NA	국내부재자	자유선진당	이현	3115
대전광역시	대덕구	NA	국외부재자	통합진보당	김창근	43
대전광역시	대덕구	NA	국내부재자	통합진보당	김창근	1673
대전광역시	동구	신인동	신인동제4투	새누리당	이장우	353
대전광역시	동구	신인동	신인동제4투	민주통합당	강래구	317
대전광역시	동구	신인동	신인동제4투	자유선진당	임영호	415
대전광역시	동구	신인동	신인동제4투	무소속	송유영	14
대전광역시	동구	산내동	산내동제1투	새누리당	이장우	665
대전광역시	동구	산내동	산내동제1투	민주통합당	강래구	818
대전광역시	동구	산내동	산내동제1투	자유선진당	임영호	631
대전광역시	동구	산내동	산내동제1투	무소속	송유영	43
대전광역시	동구	삼성동	삼성동제1투	새누리당	이장우	439
대전광역시	동구	삼성동	삼성동제1투	민주통합당	강래구	381
대전광역시	동구	삼성동	삼성동제1투	자유선진당	임영호	340
대전광역시	동구	삼성동	삼성동제1투	무소속	송유영	40
대전광역시	동구	효동	효동제2투	새누리당	이장우	489
대전광역시	동구	효동	효동제2투	민주통합당	강래구	375
대전광역시	동구	효동	효동제2투	자유선진당	임영호	313
대전광역시	동구	효동	효동제2투	무소속	송유영	12
대전광역시	동구	자양동	자양동제2투	새누리당	이장우	524
대전광역시	동구	자양동	자양동제2투	민주통합당	강래구	468
대전광역시	동구	자양동	자양동제2투	자유선진당	임영호	474
대전광역시	동구	자양동	자양동제2투	무소속	송유영	34
대전광역시	동구	판암2동	판암2동제1투	새누리당	이장우	488
대전광역시	동구	판암2동	판암2동제1투	민주통합당	강래구	378
대전광역시	동구	판암2동	판암2동제1투	자유선진당	임영호	478
대전광역시	동구	판암2동	판암2동제1투	무소속	송유영	30
대전광역시	동구	대청동	대청동제2투	새누리당	이장우	280
대전광역시	동구	대청동	대청동제2투	민주통합당	강래구	156
대전광역시	동구	대청동	대청동제2투	자유선진당	임영호	272
대전광역시	동구	대청동	대청동제2투	무소속	송유영	80
대전광역시	동구	대동	대동제2투	새누리당	이장우	525
대전광역시	동구	대동	대동제2투	민주통합당	강래구	466
대전광역시	동구	대동	대동제2투	자유선진당	임영호	469
대전광역시	동구	대동	대동제2투	무소속	송유영	28
