#특별시/광역시/도	시군구	읍면동	선거구	항목	항목값
인천광역시	계양구갑	NA	NA	국외부재자_선거권자	258
인천광역시	계양구갑	NA	NA	국외부재자_투표수	100
인천광역시	계양구갑	NA	NA	국외부재자_무효	0
인천광역시	계양구갑	NA	NA	국외부재자_기권	158
인천광역시	계양구갑	NA	NA	국내부재자_선거권자	2738
인천광역시	계양구갑	NA	NA	국내부재자_투표수	2531
인천광역시	계양구갑	NA	NA	국내부재자_무효	48
인천광역시	계양구갑	NA	NA	국내부재자_기권	207
인천광역시	계양구갑	효성1동	효성1동제5투	선거권자	3496
인천광역시	계양구갑	효성1동	효성1동제5투	투표수	1441
인천광역시	계양구갑	효성1동	효성1동제5투	무효	9
인천광역시	계양구갑	효성1동	효성1동제5투	기권	2055
인천광역시	계양구갑	작전2동	작전2동제5투	선거권자	3203
인천광역시	계양구갑	작전2동	작전2동제5투	투표수	1471
인천광역시	계양구갑	작전2동	작전2동제5투	무효	13
인천광역시	계양구갑	작전2동	작전2동제5투	기권	1732
인천광역시	계양구갑	효성1동	효성1동제7투	선거권자	3370
인천광역시	계양구갑	효성1동	효성1동제7투	투표수	1929
인천광역시	계양구갑	효성1동	효성1동제7투	무효	13
인천광역시	계양구갑	효성1동	효성1동제7투	기권	1441
인천광역시	계양구갑	작전2동	작전2동제1투	선거권자	3912
인천광역시	계양구갑	작전2동	작전2동제1투	투표수	1712
인천광역시	계양구갑	작전2동	작전2동제1투	무효	12
인천광역시	계양구갑	작전2동	작전2동제1투	기권	2200
인천광역시	계양구갑	작전2동	작전2동제4투	선거권자	2966
인천광역시	계양구갑	작전2동	작전2동제4투	투표수	1568
인천광역시	계양구갑	작전2동	작전2동제4투	무효	6
인천광역시	계양구갑	작전2동	작전2동제4투	기권	1398
인천광역시	계양구갑	작전2동	작전2동제6투	선거권자	3116
인천광역시	계양구갑	작전2동	작전2동제6투	투표수	1360
인천광역시	계양구갑	작전2동	작전2동제6투	무효	13
인천광역시	계양구갑	작전2동	작전2동제6투	기권	1756
인천광역시	계양구갑	작전서운동	작전서운동제2투	선거권자	4040
인천광역시	계양구갑	작전서운동	작전서운동제2투	투표수	2225
인천광역시	계양구갑	작전서운동	작전서운동제2투	무효	9
인천광역시	계양구갑	작전서운동	작전서운동제2투	기권	1815
인천광역시	계양구갑	작전서운동	작전서운동제4투	선거권자	4447
인천광역시	계양구갑	작전서운동	작전서운동제4투	투표수	2154
인천광역시	계양구갑	작전서운동	작전서운동제4투	무효	16
인천광역시	계양구갑	작전서운동	작전서운동제4투	기권	2293
인천광역시	계양구갑	작전1동	작전1동제5투	선거권자	3298
인천광역시	계양구갑	작전1동	작전1동제5투	투표수	1445
인천광역시	계양구갑	작전1동	작전1동제5투	무효	20
인천광역시	계양구갑	작전1동	작전1동제5투	기권	1853
인천광역시	계양구갑	효성1동	효성1동제3투	선거권자	4556
인천광역시	계양구갑	효성1동	효성1동제3투	투표수	2250
인천광역시	계양구갑	효성1동	효성1동제3투	무효	15
인천광역시	계양구갑	효성1동	효성1동제3투	기권	2306
인천광역시	계양구갑	효성1동	효성1동제1투	선거권자	3940
인천광역시	계양구갑	효성1동	효성1동제1투	투표수	2078
인천광역시	계양구갑	효성1동	효성1동제1투	무효	14
인천광역시	계양구갑	효성1동	효성1동제1투	기권	1862
인천광역시	계양구갑	효성2동	효성2동제1투	선거권자	4256
인천광역시	계양구갑	효성2동	효성2동제1투	투표수	1883
인천광역시	계양구갑	효성2동	효성2동제1투	무효	14
인천광역시	계양구갑	효성2동	효성2동제1투	기권	2373
인천광역시	계양구갑	작전2동	작전2동제7투	선거권자	2660
인천광역시	계양구갑	작전2동	작전2동제7투	투표수	1259
인천광역시	계양구갑	작전2동	작전2동제7투	무효	1
인천광역시	계양구갑	작전2동	작전2동제7투	기권	1401
인천광역시	계양구갑	효성2동	효성2동제5투	선거권자	3987
인천광역시	계양구갑	효성2동	효성2동제5투	투표수	1761
인천광역시	계양구갑	효성2동	효성2동제5투	무효	18
인천광역시	계양구갑	효성2동	효성2동제5투	기권	2226
인천광역시	계양구갑	효성2동	효성2동제3투	선거권자	4705
인천광역시	계양구갑	효성2동	효성2동제3투	투표수	2696
인천광역시	계양구갑	효성2동	효성2동제3투	무효	7
인천광역시	계양구갑	효성2동	효성2동제3투	기권	2009
인천광역시	계양구갑	작전서운동	작전서운동제6투	선거권자	3774
인천광역시	계양구갑	작전서운동	작전서운동제6투	투표수	1932
인천광역시	계양구갑	작전서운동	작전서운동제6투	무효	10
인천광역시	계양구갑	작전서운동	작전서운동제6투	기권	1842
인천광역시	계양구갑	효성1동	효성1동제4투	선거권자	4021
인천광역시	계양구갑	효성1동	효성1동제4투	투표수	1867
인천광역시	계양구갑	효성1동	효성1동제4투	무효	16
인천광역시	계양구갑	효성1동	효성1동제4투	기권	2154
인천광역시	계양구갑	효성1동	효성1동제6투	선거권자	3239
인천광역시	계양구갑	효성1동	효성1동제6투	투표수	1656
인천광역시	계양구갑	효성1동	효성1동제6투	무효	16
인천광역시	계양구갑	효성1동	효성1동제6투	기권	1583
인천광역시	계양구갑	작전1동	작전1동제1투	선거권자	5038
인천광역시	계양구갑	작전1동	작전1동제1투	투표수	2628
인천광역시	계양구갑	작전1동	작전1동제1투	무효	20
인천광역시	계양구갑	작전1동	작전1동제1투	기권	2410
인천광역시	계양구갑	작전1동	작전1동제3투	선거권자	4638
인천광역시	계양구갑	작전1동	작전1동제3투	투표수	2513
인천광역시	계양구갑	작전1동	작전1동제3투	무효	16
인천광역시	계양구갑	작전1동	작전1동제3투	기권	2125
인천광역시	계양구갑	효성2동	효성2동제6투	선거권자	4618
인천광역시	계양구갑	효성2동	효성2동제6투	투표수	2521
인천광역시	계양구갑	효성2동	효성2동제6투	무효	12
인천광역시	계양구갑	효성2동	효성2동제6투	기권	2097
인천광역시	계양구갑	효성2동	효성2동제4투	선거권자	4528
인천광역시	계양구갑	효성2동	효성2동제4투	투표수	2500
인천광역시	계양구갑	효성2동	효성2동제4투	무효	5
인천광역시	계양구갑	효성2동	효성2동제4투	기권	2028
인천광역시	계양구갑	작전1동	작전1동제6투	선거권자	3947
인천광역시	계양구갑	작전1동	작전1동제6투	투표수	2142
인천광역시	계양구갑	작전1동	작전1동제6투	무효	7
인천광역시	계양구갑	작전1동	작전1동제6투	기권	1805
인천광역시	계양구갑	작전서운동	작전서운동제1투	선거권자	3648
인천광역시	계양구갑	작전서운동	작전서운동제1투	투표수	1464
인천광역시	계양구갑	작전서운동	작전서운동제1투	무효	11
인천광역시	계양구갑	작전서운동	작전서운동제1투	기권	2184
인천광역시	계양구갑	작전2동	작전2동제3투	선거권자	3775
인천광역시	계양구갑	작전2동	작전2동제3투	투표수	1952
인천광역시	계양구갑	작전2동	작전2동제3투	무효	15
인천광역시	계양구갑	작전2동	작전2동제3투	기권	1823
인천광역시	계양구갑	작전서운동	작전서운동제5투	선거권자	3852
인천광역시	계양구갑	작전서운동	작전서운동제5투	투표수	2044
인천광역시	계양구갑	작전서운동	작전서운동제5투	무효	10
인천광역시	계양구갑	작전서운동	작전서운동제5투	기권	1808
인천광역시	계양구갑	작전1동	작전1동제4투	선거권자	3508
인천광역시	계양구갑	작전1동	작전1동제4투	투표수	1586
인천광역시	계양구갑	작전1동	작전1동제4투	무효	18
인천광역시	계양구갑	작전1동	작전1동제4투	기권	1922
인천광역시	계양구갑	작전서운동	작전서운동제3투	선거권자	3903
인천광역시	계양구갑	작전서운동	작전서운동제3투	투표수	2138
인천광역시	계양구갑	작전서운동	작전서운동제3투	무효	9
인천광역시	계양구갑	작전서운동	작전서운동제3투	기권	1765
인천광역시	계양구갑	효성1동	효성1동제2투	선거권자	3230
인천광역시	계양구갑	효성1동	효성1동제2투	투표수	1546
인천광역시	계양구갑	효성1동	효성1동제2투	무효	18
인천광역시	계양구갑	효성1동	효성1동제2투	기권	1684
인천광역시	계양구갑	작전서운동	작전서운동제7투	선거권자	2395
인천광역시	계양구갑	작전서운동	작전서운동제7투	투표수	1144
인천광역시	계양구갑	작전서운동	작전서운동제7투	무효	8
인천광역시	계양구갑	작전서운동	작전서운동제7투	기권	1251
인천광역시	계양구갑	효성2동	효성2동제2투	선거권자	4532
인천광역시	계양구갑	효성2동	효성2동제2투	투표수	1807
인천광역시	계양구갑	효성2동	효성2동제2투	무효	17
