#특별시/광역시/도	시군구	읍면동	선거구	후보정당	후보	득표수
인천광역시	계양구갑	효성1동	효성1동제5투	새누리당	조갑진	530
인천광역시	계양구갑	효성1동	효성1동제5투	민주통합당	신학용	868
인천광역시	계양구갑	효성1동	효성1동제5투	정통민주당	박선희	34
인천광역시	계양구갑	작전2동	작전2동제5투	새누리당	조갑진	578
인천광역시	계양구갑	작전2동	작전2동제5투	민주통합당	신학용	836
인천광역시	계양구갑	작전2동	작전2동제5투	정통민주당	박선희	44
인천광역시	계양구갑	효성1동	효성1동제7투	새누리당	조갑진	668
인천광역시	계양구갑	효성1동	효성1동제7투	민주통합당	신학용	1205
인천광역시	계양구갑	효성1동	효성1동제7투	정통민주당	박선희	43
인천광역시	계양구갑	작전2동	작전2동제1투	새누리당	조갑진	667
인천광역시	계양구갑	작전2동	작전2동제1투	민주통합당	신학용	994
인천광역시	계양구갑	작전2동	작전2동제1투	정통민주당	박선희	39
인천광역시	계양구갑	작전2동	작전2동제4투	새누리당	조갑진	582
인천광역시	계양구갑	작전2동	작전2동제4투	민주통합당	신학용	929
인천광역시	계양구갑	작전2동	작전2동제4투	정통민주당	박선희	51
인천광역시	계양구갑	작전2동	작전2동제6투	새누리당	조갑진	575
인천광역시	계양구갑	작전2동	작전2동제6투	민주통합당	신학용	737
인천광역시	계양구갑	작전2동	작전2동제6투	정통민주당	박선희	35
인천광역시	계양구갑	작전서운동	작전서운동제2투	새누리당	조갑진	666
인천광역시	계양구갑	작전서운동	작전서운동제2투	민주통합당	신학용	1497
인천광역시	계양구갑	작전서운동	작전서운동제2투	정통민주당	박선희	53
인천광역시	계양구갑	작전서운동	작전서운동제4투	새누리당	조갑진	803
인천광역시	계양구갑	작전서운동	작전서운동제4투	민주통합당	신학용	1300
인천광역시	계양구갑	작전서운동	작전서운동제4투	정통민주당	박선희	35
인천광역시	계양구갑	작전1동	작전1동제5투	새누리당	조갑진	443
인천광역시	계양구갑	작전1동	작전1동제5투	민주통합당	신학용	935
인천광역시	계양구갑	작전1동	작전1동제5투	정통민주당	박선희	47
인천광역시	계양구갑	효성1동	효성1동제3투	새누리당	조갑진	820
인천광역시	계양구갑	효성1동	효성1동제3투	민주통합당	신학용	1354
인천광역시	계양구갑	효성1동	효성1동제3투	정통민주당	박선희	61
인천광역시	계양구갑	효성1동	효성1동제1투	새누리당	조갑진	833
인천광역시	계양구갑	효성1동	효성1동제1투	민주통합당	신학용	1179
인천광역시	계양구갑	효성1동	효성1동제1투	정통민주당	박선희	52
인천광역시	계양구갑	효성2동	효성2동제1투	새누리당	조갑진	768
인천광역시	계양구갑	효성2동	효성2동제1투	민주통합당	신학용	1047
인천광역시	계양구갑	효성2동	효성2동제1투	정통민주당	박선희	54
인천광역시	계양구갑	작전2동	작전2동제7투	새누리당	조갑진	536
인천광역시	계양구갑	작전2동	작전2동제7투	민주통합당	신학용	673
인천광역시	계양구갑	작전2동	작전2동제7투	정통민주당	박선희	49
인천광역시	계양구갑	효성2동	효성2동제5투	새누리당	조갑진	667
인천광역시	계양구갑	효성2동	효성2동제5투	민주통합당	신학용	1020
인천광역시	계양구갑	효성2동	효성2동제5투	정통민주당	박선희	56
인천광역시	계양구갑	효성2동	효성2동제3투	새누리당	조갑진	1006
인천광역시	계양구갑	효성2동	효성2동제3투	민주통합당	신학용	1616
인천광역시	계양구갑	효성2동	효성2동제3투	정통민주당	박선희	67
인천광역시	계양구갑	작전서운동	작전서운동제6투	새누리당	조갑진	553
인천광역시	계양구갑	작전서운동	작전서운동제6투	민주통합당	신학용	1324
인천광역시	계양구갑	작전서운동	작전서운동제6투	정통민주당	박선희	45
인천광역시	계양구갑	효성1동	효성1동제4투	새누리당	조갑진	684
